gene_name	gene_id	lsv_id	mean_dpsi_per_lsv_junction	probability_changing	probability_non_changing	CycloheximideControl_mean_psi	CycloheximideTDP43KD_mean_psi	lsv_type	num_junctions	num_exons	de_novo_junctions	seqid	strand	junctions_coords	exons_coords	ir_coords	ucsc_lsv_link
SMG1	ENSG00000157106.17	ENSG00000157106.17:t:18892218-18892354	0.1344;-0.1344	6.850e-01;6.850e-01	2.798e-02;2.798e-02	0.0522;0.9478	0.1952;0.8048	t|1e1.1o1|1e2.1o1	2	3	0;0	chr16	-	18892354-18896793;18892354-18896052	18892218-18892354;18896052-18896207;18896793-18896956		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr16%3A18896956-18892218
NRG1	ENSG00000157168.20	ENSG00000157168.20:t:32727949-32728623	-0.0076;0.0005;0.2425;-0.0292;-0.1724;0.0000	1.049e-03;2.866e-05;9.535e-01;2.536e-02;7.943e-01;1.275e-08	7.754e-01;9.830e-01;1.389e-03;5.113e-01;1.331e-02;1.000e+00	0.0363;0.0007;0.3684;0.0631;0.5272;0.0007	0.0174;0.0153;0.6301;0.0106;0.3189;0.0013	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o2|1e4.2o2|1e5.1o1	6	6	0;0;0;0;0;0	chr8	+	32605683-32727949;32614564-32727949;32616885-32727949;32648314-32727949;32648384-32727949;32722042-32727949	32605562-32605683;32614375-32614564;32616835-32616885;32646958-32648384;32721753-32722042;32727949-32728623		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr8%3A32728623-32605562
ODR4	ENSG00000157181.16	ENSG00000157181.16:s:186406083-186406268	-0.2350;0.2350	9.992e-01;9.992e-01	1.683e-08;1.679e-08	0.4066;0.5934	0.1785;0.8215	s|1e1.1o1|1e2.1o1	2	3	0;0	chr1	+	186406268-186411811;186406268-186417544	186406083-186406268;186411811-186411893;186417377-186417654		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A186417654-186406083
ODR4	ENSG00000157181.16	ENSG00000157181.16:t:186417377-186417654	0.2279;-0.2279	1.000e+00;1.000e+00	1.117e-10;1.121e-10	0.6877;0.3123	0.9109;0.0891	t|1e1.1o1|1e2.1o1	2	3	0;1	chr1	+	186406268-186417544;186411893-186417544	186406083-186406268;186411811-186411893;186417377-186417654		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A186417654-186406083
LRP8	ENSG00000157193.18	ENSG00000157193.18:s:53250690-53250862	-0.1204;-0.0000;0.1669;0.0000;-0.0048	5.785e-01;5.706e-08;7.554e-01;7.046e-21;8.921e-04	4.708e-02;9.983e-01;1.812e-02;1.000e+00;8.383e-01	0.3902;0.0087;0.5569;0.0009;0.0348	0.2660;0.0011;0.7304;0.0011;0.0011	s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|i	5	5	0;0;0;0;1	chr1	-	53249556-53250690;53249440-53250690;53247056-53250690;53245981-53250690;53249557-53250689	53242364-53245981;53246552-53247056;53249380-53249440;53249496-53249556;53250690-53250862	53249557-53250689	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A53250862-53242364
LRP8	ENSG00000157193.18	ENSG00000157193.18:s:53275631-53275753	0.0000;0.5241;-0.6287;0.0000;0.0405;0.0000;0.0019	1.505e-10;1.000e+00;1.000e+00;1.505e-10;1.885e-01;1.505e-10;1.112e-04	1.000e+00;3.068e-17;0.000e+00;1.000e+00;2.445e-01;1.000e+00;9.278e-01	0.0009;0.0198;0.7071;0.0009;0.2730;0.0009;0.0009	0.0010;0.5409;0.0906;0.0010;0.3419;0.0010;0.0285	s|1e5.2o2|2e1.1o1|2e2.1o1|2e3.1o2|2e3.2o2|2e4.1o1|i	7	6	0;1;0;0;0;0;0	chr1	-	53266647-53275655;53274820-53275631;53272642-53275631;53271415-53275631;53271346-53275631;53271153-53275631;53274821-53275630	53266473-53268598;53271028-53271153;53271227-53271812;53272604-53272642;53274483-53274820;53275631-53275753	53274821-53275630	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A53275753-53266473
LRP8	ENSG00000157193.18	ENSG00000157193.18:s:53280587-53280715	0.1242;-0.1131;-0.0011;0.0000	5.833e-01;5.449e-01;1.093e-03;2.369e-07	4.443e-02;5.473e-02;8.589e-01;9.996e-01	0.1374;0.8314;0.0291;0.0016	0.2816;0.6917;0.0170;0.0026	s|1e1.1o1|1e2.1o1|1e3.2o2|i	4	4	0;0;0;1	chr1	-	53277078-53280587;53275753-53280587;53271346-53280587;53277079-53280586	53271227-53271812;53275631-53275753;53276692-53277078;53280587-53280715	53277079-53280586	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A53280715-53271227
LRP8	ENSG00000157193.18	ENSG00000157193.18:t:53242364-53245981	0.0000;0.1689;0.0436;0.2594;-0.5252	1.956e-09;8.985e-01;1.896e-01;9.965e-01;1.000e+00	1.000e+00;4.171e-03;2.431e-01;3.343e-05;8.895e-12	0.0013;0.0277;0.1057;0.0273;0.8426	0.0015;0.2032;0.1829;0.2978;0.3244	t|1e1.1o1|1e2.1o3|1e2.2o3|1e2.3o3|i	5	3	0;0;0;0;0	chr1	-	53245981-53250690;53245981-53246956;53245981-53246924;53245981-53246918;53245982-53246551	53242364-53245981;53246552-53247056;53250690-53250862	53245982-53246551	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A53250862-53242364
LRP8	ENSG00000157193.18	ENSG00000157193.18:t:53246552-53247056	0.1352;-0.1400;0.0010;-0.0000	6.476e-01;6.751e-01;9.463e-05;4.820e-08	3.525e-02;3.083e-02;9.545e-01;9.992e-01	0.5850;0.3928;0.0114;0.0089	0.7468;0.2304;0.0197;0.0015	t|1e1.1o1|1e2.1o1|1e3.1o1|i	4	4	0;0;0;1	chr1	-	53247056-53250690;53247056-53249380;53247056-53248463;53247057-53248462	53246552-53247056;53248463-53248591;53249380-53249440;53250690-53250862	53247057-53248462	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A53250862-53246552
LRP8	ENSG00000157193.18	ENSG00000157193.18:t:53271227-53271812	0.0000;0.0004;-0.0001;0.1485;0.1755;0.1427;-0.5526;0.0000	4.063e-09;1.272e-05;4.694e-05;7.303e-01;9.365e-01;7.498e-01;1.000e+00;4.063e-09	1.000e+00;9.846e-01;9.553e-01;2.390e-02;1.007e-03;1.980e-02;1.562e-13;1.000e+00	0.0006;0.0058;0.0213;0.2222;0.0132;0.0006;0.7321;0.0006	0.0010;0.0167;0.0138;0.3926;0.2040;0.1644;0.1963;0.0010	t|1e3.2o2|2e1.1o1|2e2.1o1|2e3.2o2|2e4.1o2|2e4.2o2|2e5.1o1|i	8	6	0;0;0;0;1;1;0;0	chr1	-	53271415-53275631;53271346-53289567;53271346-53280587;53271346-53275631;53271346-53274643;53271346-53274483;53271346-53272604;53271813-53272603	53271227-53271812;53272604-53272642;53274483-53274820;53275631-53275753;53280587-53280715;53289332-53289689	53271813-53272603	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A53289689-53271227
DHRS4	ENSG00000157326.19	ENSG00000157326.19:t:23965932-23965983	-0.0248;0.1007;-0.0501	2.696e-02;4.841e-01;2.085e-01	5.341e-01;7.170e-02;2.208e-01	0.0619;0.7588;0.1890	0.0093;0.8790;0.1097	t|1e1.1o1|1e2.1o2|1e2.2o2	3	3	0;0;1	chr14	+	23960003-23965932;23965832-23965932;23965857-23965932	23959902-23960003;23965762-23965857;23965932-23965983		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr14%3A23965983-23959902
FCSK	ENSG00000157353.17	ENSG00000157353.17:s:70468849-70468974	0.1167;-0.1167	5.453e-01;5.453e-01	5.063e-02;5.063e-02	0.6183;0.3817	0.7609;0.2391	s|1e1.1o1|1e2.1o1	2	3	0;0	chr16	+	70468968-70469152;70468968-70470314	70468849-70468974;70469152-70469323;70470314-70470426		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr16%3A70470426-70468849
FCSK	ENSG00000157353.17	ENSG00000157353.17:t:70470314-70470426	-0.1032;0.1032	4.586e-01;4.586e-01	6.391e-02;6.391e-02	0.5000;0.5000	0.3564;0.6436	t|1e1.1o1|1e2.1o1	2	3	0;0	chr16	+	70468968-70470314;70469323-70470314	70468849-70468974;70469152-70469323;70470314-70470426		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr16%3A70470426-70468849
DHRS1	ENSG00000157379.14	ENSG00000157379.14:t:24292184-24292352	-0.1213;0.0076;0.1754;-0.0526	5.668e-01;1.163e-02;7.444e-01;2.487e-01	4.661e-02;6.771e-01;1.628e-02;1.919e-01	0.3478;0.0305;0.4678;0.1533	0.1907;0.0392;0.6795;0.0764	t|1e4.1o1|2e1.1o1|2e2.1o1|2e3.1o1	4	5	1;0;0;0	chr14	-	24292352-24292437;24292330-24296509;24292330-24292652;24292330-24292621	24292184-24292352;24292437-24292600;24292621-24292643;24292652-24294656;24296509-24296588		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr14%3A24296588-24292184
AASDH	ENSG00000157426.14	ENSG00000157426.14:s:56348928-56350058	-0.1395;0.2378;-0.0345;-0.0086	6.526e-01;9.580e-01;1.236e-01;7.492e-03	3.291e-02;1.448e-03;3.248e-01;6.971e-01	0.6870;0.1391;0.1164;0.0432	0.5174;0.3814;0.0638;0.0241	s|1e1.1o1|1e2.1o1|1e3.1o1|i	4	4	0;0;0;1	chr4	-	56345290-56349263;56343684-56349263;56338791-56349263;56345291-56348927	56338287-56338791;56343562-56343684;56345127-56345290;56348928-56350058	56345291-56348927	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr4%3A56350058-56338287
AASDH	ENSG00000157426.14	ENSG00000157426.14:t:56343562-56343684	0.3486;-0.3486	9.819e-01;9.819e-01	3.390e-04;3.390e-04	0.2096;0.7904	0.5562;0.4438	t|1e1.1o1|1e2.1o1	2	3	0;0	chr4	-	56343684-56349263;56343684-56345127	56343562-56343684;56345127-56345290;56348928-56350058		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr4%3A56350058-56343562
RNF111	ENSG00000157450.16	ENSG00000157450.16:s:59080936-59081284	0.1448;-0.1505;0.0103;-0.0000	8.437e-01;8.790e-01;1.274e-06;7.057e-21	7.117e-03;4.210e-03;7.299e-01;9.988e-01	0.1844;0.7719;0.0260;0.0196	0.3291;0.6182;0.0462;0.0066	s|1e1.1o2|1e1.2o2|1e2.1o1|i	4	3	0;0;1;1	chr15	+	59081284-59084102;59081284-59084129;59081284-59085659;59081285-59083939	59080936-59081284;59083940-59084364;59085506-59085785	59081285-59083939	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr15%3A59085785-59080936
VPS26C	ENSG00000157538.14	ENSG00000157538.14:s:37231493-37231975	0.1854;0.0000;-0.1848	8.212e-01;1.460e-05;8.163e-01	1.003e-02;9.951e-01;1.042e-02	0.0689;0.0047;0.9264	0.2752;0.0048;0.7193	s|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;0;1	chr21	-	37230818-37231493;37229222-37231493;37228373-37231493	37228223-37228373;37229145-37229483;37230518-37230818;37231493-37231975		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr21%3A37231975-37228223
TSPAN18	ENSG00000157570.12	ENSG00000157570.12:s:44919666-44919999	0.1616;-0.1616;0.0000	8.490e-01;8.485e-01;7.046e-21	8.593e-03;8.584e-03;1.000e+00	0.0575;0.9410;0.0016	0.2192;0.7790;0.0017	s|1e1.1o1|1e2.1o1|i	3	3	0;0;1	chr11	+	44919999-44925717;44919999-44926674;44920000-44925716	44919666-44919999;44925717-44925799;44926367-44926757	44920000-44925716	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr11%3A44926757-44919666
TMEM164	ENSG00000157600.12	ENSG00000157600.12:t:110003501-110003594	-0.1877;-0.0104;0.2104	7.715e-01;1.195e-02;8.245e-01	1.307e-02;6.500e-01;8.421e-03	0.6674;0.0546;0.2776	0.4346;0.0355;0.5310	t|1e1.1o1|1e2.1o2|1e2.2o2	3	3	0;0;0	chrX	+	110002772-110003501;110003156-110003501;110003178-110003501	110002631-110002772;110003095-110003178;110003501-110003594		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chrX%3A110003594-110002631
SLC38A10	ENSG00000157637.13	ENSG00000157637.13:s:81250877-81251612	0.1460;-0.0233;-0.0000;-0.1031	8.016e-01;3.991e-02;7.046e-21;5.297e-01	1.389e-02;4.919e-01;1.000e+00;6.820e-02	0.5246;0.1624;0.0045;0.3029	0.6782;0.1207;0.0042;0.1952	s|1e1.1o1|1e2.1o2|1e2.2o2|i	4	3	0;0;0;1	chr17	-	81250093-81251493;81247061-81251493;81247058-81251493;81250094-81250876	81246885-81247635;81250070-81250093;81250877-81251612	81250094-81250876	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A81251612-81246885
ZNF618	ENSG00000157657.14	ENSG00000157657.14:s:114008477-114008554	0.1345;-0.1345	6.479e-01;6.479e-01	3.390e-02;3.390e-02	0.4546;0.5454	0.6246;0.3754	s|1e1.1o1|1e2.1o1	2	3	0;0	chr9	+	114008554-114016113;114008554-114016695	114008477-114008554;114016113-114016172;114016695-114016784		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr9%3A114016784-114008477
ZNF618	ENSG00000157657.14	ENSG00000157657.14:t:114016695-114016784	-0.1560;0.1560	6.959e-01;6.959e-01	2.304e-02;2.304e-02	0.6170;0.3830	0.4286;0.5714	t|1e1.1o1|1e2.1o1	2	3	0;0	chr9	+	114008554-114016695;114016172-114016695	114008477-114008554;114016113-114016172;114016695-114016784		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr9%3A114016784-114008477
ZNF618	ENSG00000157657.14	ENSG00000157657.14:t:114032645-114032728	0.1453;-0.0483;-0.0017;-0.1042;0.0012	7.001e-01;1.046e-01;1.065e-01;5.366e-01;8.375e-05	2.528e-02;3.244e-01;3.547e-01;6.036e-02;9.613e-01	0.1428;0.0893;0.5854;0.1796;0.0008	0.3051;0.0199;0.5897;0.0681;0.0197	t|1e1.1o1|1e2.1o1|2e1.1o1|2e2.1o1|2e3.1o1	5	4	1;0;0;0;1	chr9	+	114016784-114032645;114028972-114032645;114016784-114032648;114028972-114032648;114029835-114032648	na-114029835;114016695-114016784;114027921-114028972;114032645-114032728		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr9%3A114032728-114016695
DGKI	ENSG00000157680.16	ENSG00000157680.16:t:137444077-137444102	-0.0201;-0.2471;0.0768;0.1738	1.745e-01;9.256e-01;3.431e-01;8.369e-01	2.518e-01;2.545e-03;1.267e-01;8.937e-03	0.5687;0.3772;0.0386;0.0100	0.5271;0.1201;0.1295;0.2123	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1	4	5	0;0;0;0	chr7	-	137444102-137465908;137444102-137463489;137444102-137454754;137444102-137452814	137444077-137444102;137452814-137453194;137454754-137454873;137463489-137463611;137465908-137466035		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A137466035-137444077
AP3S2	ENSG00000157823.17	ENSG00000157823.17:t:89877306-89877424	-0.1484;0.1484	7.737e-01;7.737e-01	1.652e-02;1.652e-02	0.7749;0.2251	0.6138;0.3862	t|1e1.1o1|1e2.1o1	2	3	0;0	chr15	-	89877424-89888521;89877424-89878265	89877306-89877424;89878265-89878300;89888521-89888653		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr15%3A89888653-89877306
FMNL2	ENSG00000157827.20	ENSG00000157827.20:s:152640791-152640914	0.1523;-0.0098;-0.1473;0.0021	7.877e-01;6.094e-02;7.915e-01;1.090e-05	1.614e-02;4.522e-01;1.447e-02;8.608e-01	0.2628;0.3953;0.3082;0.0293	0.4188;0.3871;0.1559;0.0394	s|1e1.1o1|1e2.1o1|1e3.1o1|i	4	4	0;1;0;1	chr2	+	152640914-152643419;152640914-152645434;152640914-152647796;152640915-152643418	152640791-152640914;152643419-152643544;152645434-152645609;152647796-152649826	152640915-152643418	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr2%3A152649826-152640791
FMNL2	ENSG00000157827.20	ENSG00000157827.20:t:152647796-152649826	-0.1758;-0.0366;0.0504;0.1569;0.0000;-0.0004	9.444e-01;9.085e-02;1.778e-01;7.993e-01;7.047e-21;1.173e-06	9.746e-04;3.625e-01;2.531e-01;1.463e-02;9.999e-01;8.783e-01	0.2786;0.1140;0.1719;0.3882;0.0123;0.0349	0.1036;0.0570;0.2390;0.5501;0.0125;0.0359	t|1e1.1o1|1e2.1o1|1e3.1o3|1e3.2o3|1e3.3o3|i	6	4	0;0;1;1;1;1	chr2	+	152640914-152647796;152643544-152647796;152645480-152647796;152645527-152647796;152645609-152647796;152645610-152647795	152640791-152640914;152643419-152643544;152645434-152645609;152647796-152649826	152645610-152647795	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr2%3A152649826-152640791
SPPL3	ENSG00000157837.16	ENSG00000157837.16:s:120767394-120767593	-0.1426;0.1426	8.806e-01;8.806e-01	1.028e-04;1.028e-04	0.9776;0.0224	0.8347;0.1653	s|1e1.1o1|1e2.1o1	2	3	0;1	chr12	-	120766372-120767394;120765070-120767394	120762510-120765070;120766263-120766372;120767394-120767593		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr12%3A120767593-120762510
SPPL3	ENSG00000157837.16	ENSG00000157837.16:t:120762510-120765070	0.1704;-0.1704	9.558e-01;9.558e-01	2.095e-04;2.095e-04	0.0361;0.9639	0.2016;0.7984	t|1e1.1o1|1e2.1o1	2	3	1;0	chr12	-	120765070-120767394;120765070-120766263	120762510-120765070;120766263-120766372;120767394-120767593		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr12%3A120767593-120762510
RAB28	ENSG00000157869.16	ENSG00000157869.16:s:13376545-13376622	0.0003;0.1167;-0.1253;0.0000	1.691e-10;6.313e-01;6.831e-01;7.046e-21	9.893e-01;3.977e-02;2.831e-02;1.000e+00	0.0129;0.1969;0.7846;0.0049	0.0258;0.3204;0.6512;0.0004	s|1e1.1o1|1e2.1o1|1e3.1o1|i	4	4	0;0;0;1	chr4	-	13371867-13376545;13369965-13376545;13368650-13376545;13371868-13376544	13367724-13368650;13369871-13369965;13371795-13371867;13376545-13376622	13371868-13376544	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr4%3A13376622-13367724
RAB28	ENSG00000157869.16	ENSG00000157869.16:t:13367724-13368650	-0.1771;0.0000;0.1758	9.429e-01;7.586e-21;9.487e-01	1.368e-03;1.000e+00;1.992e-03	0.7644;0.0100;0.2222	0.5919;0.0114;0.3954	t|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;0;0	chr4	-	13368650-13376545;13368650-13371795;13368650-13369871	13367724-13368650;13369871-13369965;13371795-13371867;13376545-13376622		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr4%3A13376622-13367724
PEX10	ENSG00000157911.11	ENSG00000157911.11:s:2408452-2408858	-0.1235;0.0113;-0.0353;0.1316	6.222e-01;1.782e-03;8.824e-02;6.544e-01	4.122e-02;7.395e-01;3.719e-01;3.401e-02	0.2915;0.0061;0.1196;0.5774	0.1584;0.0468;0.0658;0.7295	s|1e1.3o3|2e1.1o3|2e1.2o3|2e1.3o3	4	2	0;0;1;0	chr1	-	2406895-2408456;2406955-2408452;2406952-2408452;2406895-2408452	2406720-2406955;2408452-2408858		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A2408858-2406720
RER1	ENSG00000157916.20	ENSG00000157916.20:s:2393174-2393231	0.1064;-0.1064	5.519e-01;5.519e-01	6.065e-02;6.065e-02	0.3393;0.6607	0.4751;0.5249	s|1e1.1o2|i	2	2	0;1	chr1	+	2393231-2395784;2393232-2393269	2393174-2393231;2395784-2396367	2393232-2393269	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A2396367-2393174
RADIL	ENSG00000157927.17	ENSG00000157927.17:s:4799630-4799769	0.1125;-0.1125	6.071e-01;6.071e-01	4.132e-02;4.132e-02	0.0324;0.9676	0.1600;0.8400	s|1e1.1o1|2e1.1o1	2	2	1;0	chr7	-	4799483-4799668;4799483-4799630	4797055-4799483;4799630-4799769		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A4799769-4797055
RADIL	ENSG00000157927.17	ENSG00000157927.17:s:4801653-4801995	-0.1246;0.1246	6.489e-01;6.489e-01	3.286e-02;3.286e-02	0.1576;0.8424	0.0101;0.9899	s|1e1.1o2|1e1.2o2	2	2	1;0	chr7	-	4800440-4801653;4800310-4801653	4800171-4800440;4801653-4801995		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A4801995-4800171
RADIL	ENSG00000157927.17	ENSG00000157927.17:t:4877605-4878203	0.1381;-0.1381	6.044e-01;6.044e-01	3.404e-02;3.404e-02	0.5286;0.4714	0.7003;0.2997	t|1e1.1o1|1e2.1o1	2	3	0;0	chr7	-	4878203-4883596;4878203-4882109	4877605-4878203;4882109-4882209;4883596-4883716		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A4883716-4877605
PAFAH2	ENSG00000158006.14	ENSG00000158006.14:s:25990727-25990921	-0.1187;0.1187	5.727e-01;5.727e-01	4.812e-02;4.812e-02	0.9304;0.0696	0.7919;0.2081	s|1e1.1o1|1e2.1o1	2	3	0;0	chr1	-	25989601-25990727;25984528-25990727	25984460-25984528;25989448-25989601;25990727-25990921		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A25990921-25984460
EYA3	ENSG00000158161.16	ENSG00000158161.16:s:28035544-28035680	0.0013;-0.1858;0.1559	3.233e-09;9.509e-01;8.601e-01	9.596e-01;1.013e-03;8.016e-03	0.0060;0.4164;0.5784	0.0348;0.2310;0.7310	s|1e1.1o1|1e2.1o1|1e3.1o1	3	4	1;0;0	chr1	-	28032478-28035544;28027926-28035544;28017239-28035544	na-28032478;28017154-28017239;28027789-28027926;28035544-28035680		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A28035680-28017154
DZIP1L	ENSG00000158163.15	ENSG00000158163.15:s:138092352-138092544	0.3213;-0.3213	9.605e-01;9.605e-01	9.452e-04;9.452e-04	0.3510;0.6490	0.6883;0.3117	s|1e1.1o2|1e1.2o2	2	2	1;0	chr3	-	138088702-138092383;138088507-138092383	138088379-138088900;138092352-138092544		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr3%3A138092544-138088379
DZIP1L	ENSG00000158163.15	ENSG00000158163.15:t:138112364-138112500	0.1033;-0.1043;0.0001	4.815e-01;4.853e-01;5.204e-05	6.574e-02;6.434e-02;9.918e-01	0.0656;0.9298;0.0044	0.2146;0.7788;0.0061	t|1e1.1o2|1e1.2o2|1e2.1o1	3	3	0;0;0	chr3	-	138112500-138115460;138112500-138115328;138112500-138113389	138112364-138112500;138113389-138113480;138115328-138115818		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr3%3A138115818-138112364
MRAS	ENSG00000158186.13	ENSG00000158186.13:t:138372866-138373076	-0.0024;0.0891;-0.1119;0.0020;0.0001	7.588e-02;4.370e-01;5.385e-01;4.133e-05;2.779e-06	4.136e-01;8.964e-02;5.571e-02;9.391e-01;9.847e-01	0.1900;0.2127;0.5790;0.0013;0.0133	0.1842;0.3337;0.4331;0.0269;0.0148	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1	5	6	0;0;0;0;1	chr3	+	138348325-138372866;138348767-138372866;138349032-138372866;138349379-138372866;138355418-138372866	na-138355418;138347648-138348325;138348579-138348767;138348850-138349032;138349146-138349379;138372866-138373076		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr3%3A138373076-138347648
ABHD3	ENSG00000158201.10	ENSG00000158201.10:s:21701276-21702498	0.1014;-0.0909;-0.0004	4.937e-01;4.158e-01;3.153e-05	7.003e-02;9.804e-02;9.860e-01	0.8508;0.1309;0.0121	0.9667;0.0306;0.0028	s|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;0;0	chr18	-	21683965-21702316;21664230-21702316;21659343-21702316	21659170-21659343;21663678-21664534;21683781-21683965;21701276-21702498		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr18%3A21702498-21659170
GPR153	ENSG00000158292.7	ENSG00000158292.7:s:6253718-6254147	-0.0089;0.1492;-0.0346;-0.0801	7.038e-02;6.868e-01;7.434e-02;4.134e-01	4.247e-01;2.670e-02;3.967e-01;9.583e-02	0.1110;0.3883;0.0810;0.4196	0.0927;0.5804;0.0273;0.2919	s|1e1.1o1|1e2.1o1|1e3.1o1|i	4	4	1;0;1;1	chr1	-	6252768-6253718;6251530-6253718;6250624-6253718;6251531-6253717	na-6252768;6250440-6250624;6251338-6251530;6253718-6254147	6251531-6253717	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A6254147-6250440
AUTS2	ENSG00000158321.18	ENSG00000158321.18:s:70762870-70763341	0.1244;-0.1244	6.393e-01;6.393e-01	3.822e-02;3.822e-02	0.4533;0.5467	0.5928;0.4072	s|1e1.1o2|1e1.2o2	2	2	0;0	chr7	+	70763341-70764752;70763341-70764755	70762870-70763341;70764752-70764794		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A70764794-70762870
AUTS2	ENSG00000158321.18	ENSG00000158321.18:s:70771549-70771644	-0.1876;0.0954;0.0766;0.0000	9.475e-01;4.720e-01;3.398e-01;7.046e-21	1.337e-03;8.803e-02;1.283e-01;1.000e+00	0.8043;0.1069;0.0873;0.0005	0.6099;0.2169;0.1740;0.0006	s|1e1.1o1|1e2.1o1|1e3.1o1|i	4	4	0;0;0;1	chr7	+	70771644-70774028;70771644-70775357;70771644-70777103;70771645-70774027	70771549-70771644;70774028-70774376;70774787-70775386;70776674-70777217	70771645-70774027	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A70777217-70771549
CDC25C	ENSG00000158402.21	ENSG00000158402.21:t:138330987-138331218	-0.0017;-0.1060;0.0118;0.0869	1.269e-04;5.049e-01;1.373e-02;4.199e-01	9.311e-01;5.848e-02;6.850e-01;8.366e-02	0.0267;0.6318;0.0089;0.3377	0.0035;0.4668;0.0380;0.4606	t|1e1.1o1|1e2.1o1|2e1.1o1|2e2.1o1	4	3	0;0;0;0	chr5	-	138331218-138337956;138331218-138331595;138331214-138337956;138331214-138331595	138330987-138331218;138331595-138331872;138337956-138338355		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr5%3A138338355-138330987
PPP1R9A	ENSG00000158528.12	ENSG00000158528.12:s:95268550-95268707	0.2013;0.0038;-0.2057	9.476e-01;9.050e-05;9.675e-01	1.891e-03;7.513e-01;6.537e-04	0.4390;0.0357;0.5235	0.6422;0.0397;0.3179	s|1e1.1o2|1e1.2o2|1e2.1o1	3	3	0;0;0	chr7	+	95268707-95269207;95268707-95269261;95268707-95286206	95268550-95268707;95269207-95269507;95286206-95286325		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A95286325-95268550
