gene_name,gene_id,lsv_id,mean_dpsi_per_lsv_junction,probability_changing,probability_non_changing,ControlControl_mean_psi,ControlTDP43KD_mean_psi,lsv_type,num_junctions,num_exons,de_novo_junctions,seqid,strand,junctions_coords,exons_coords,ir_coords,ucsc_lsv_link
ASPHD1,ENSG00000174939.11,ENSG00000174939.11:t:29919531-29919864,-0.0417;0.1110;-0.0653;0.0070,1.896e-01;5.338e-01;2.769e-01;7.806e-02,2.430e-01;5.979e-02;1.706e-01;4.066e-01,0.1998;0.3082;0.2432;0.2437,0.1354;0.4429;0.1523;0.2675,t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1,4,5,1;1;0;0,chr16,+,29901920-29919531;29904965-29919531;29905959-29919531;29906127-29919531,29901552-29901920;29904852-29904965;29905788-29906056;29906079-29906127;29919531-29919864,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr16%3A29919864-29901552
LINC00476,ENSG00000175611.12,ENSG00000175611.12:s:95874980-95875587,0.0000;0.0029;0.1362;-0.0020;0.0649;-0.2159;-0.0000,1.090e-07;4.928e-03;6.337e-01;2.354e-04;2.345e-01;9.250e-01;7.062e-21,9.980e-01;6.717e-01;3.520e-02;9.222e-01;1.975e-01;3.332e-03;1.000e+00,0.0009;0.0492;0.5435;0.0281;0.0258;0.3509;0.0009,0.0063;0.0539;0.7116;0.0007;0.1057;0.1184;0.0007,s|3e1.1o2|3e1.2o2|3e2.1o1|3e3.1o1|3e4.1o1|3e5.1o1|3e6.1o1,7,7,0;0;0;0;0;1;0,chr9,-,95874622-95874980;95874548-95874980;95870441-95874980;95852029-95874980;95850292-95874980;95813922-95874980;95774017-95874980,95773888-95774017;95813170-95813922;95850227-95850292;95851824-95852029;95869052-95870441;95874509-95874622;95874980-95875587,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr9%3A95875587-95773888
ETV4,ENSG00000175832.13,ENSG00000175832.13:s:43545861-43546025,0.1524;-0.1524,7.788e-01;7.788e-01,1.795e-02;1.795e-02,0.8110;0.1890,0.9744;0.0256,s|1e1.1o1|1e2.2o2,2,3,0;0,chr17,-,43545668-43545861;43545367-43545861,43545274-43545402;43545558-43545713;43545861-43546025,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A43546025-43545274
ATAD5,ENSG00000176208.9,ENSG00000176208.9:s:30858161-30858323,0.1691;-0.1691,7.169e-01;7.169e-01,2.023e-02;2.023e-02,0.1219;0.8781,0.3080;0.6920,s|1e1.1o2|1e1.2o2,2,2,1;0,chr17,+,30858323-30860430;30858323-30860433,30858161-30858323;30860430-30860612,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A30860612-30858161
RTTN,ENSG00000176225.15,ENSG00000176225.15:t:70074759-70075541,-0.2196;0.2196,9.482e-01;9.482e-01,1.182e-03;1.182e-03,0.9949;0.0051,0.7527;0.2473,t|1e1.1o1|1e2.1o1,2,3,0;0,chr18,-,70075541-70086613;70075541-70078609,70074759-70075541;70078609-70078738;70086613-70086684,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr18%3A70086684-70074759
PHLDB3,ENSG00000176531.10,ENSG00000176531.10:s:43494702-43494815,0.1045;-0.0241;-0.0413,5.249e-01;6.091e-02;1.293e-01,6.667e-02;4.502e-01;3.116e-01,0.8452;0.0688;0.0876,0.9758;0.0117;0.0080,s|1e1.1o1|1e2.1o1|1e3.1o1,3,4,0;0;0,chr19,-,43487123-43494702;43486870-43494702;43479593-43494702,43479513-43479593;43486780-43486870;43487024-43487123;43494702-43494815,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr19%3A43494815-43479513
ACSF3,ENSG00000176715.17,ENSG00000176715.17:t:89098591-89098763,0.0567;-0.1266;0.0324,2.671e-01;6.208e-01;8.034e-02,1.785e-01;4.098e-02;3.921e-01,0.0699;0.9265;0.0042,0.1584;0.7620;0.0688,t|1e1.1o2|1e1.2o2|1e2.1o1,3,3,0;0;0,chr16,+,89093992-89098591;89093996-89098591;89095303-89098591,89093852-89093996;89095195-89095303;89098591-89098763,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr16%3A89098763-89093852
ANKLE2,ENSG00000176915.15,ENSG00000176915.15:s:132733996-132734071,0.0107;-0.1254;0.1007,1.240e-02;5.888e-01;4.623e-01,6.203e-01;4.314e-02;6.987e-02,0.0296;0.3158;0.6553,0.0549;0.1649;0.7759,s|1e1.1o1|1e2.2o2|i,3,3,1;0;1,chr12,-,132733799-132733996;132730270-132733996;132732211-132733995,na-132733799;132729679-132730388;132733996-132734071,132732211-132733995,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr12%3A132734071-132729679
ANKLE2,ENSG00000176915.15,ENSG00000176915.15:s:132734385-132734575,0.1094;0.0000;-0.0971;-0.0140,5.905e-01;7.062e-21;4.778e-01;1.551e-07,3.057e-02;1.000e+00;6.648e-02;6.735e-01,0.1110;0.0052;0.8345;0.0501,0.2266;0.0119;0.7286;0.0318,s|1e1.1o1|1e2.1o1|1e3.2o2|1e4.1o1,4,5,0;1;0;0,chr12,-,132734071-132734385;132733799-132734385;132730270-132734385;132728163-132734385,na-132733799;132728032-132728163;132729679-132730388;132733996-132734071;132734385-132734575,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr12%3A132734575-132728032
SHMT1,ENSG00000176974.20,ENSG00000176974.20:s:18363372-18363563,0.1216;-0.1216,5.729e-01;5.729e-01,4.767e-02;4.767e-02,0.1094;0.8906,0.2670;0.7330,s|1e1.1o1|1e2.1o1,2,3,0;0,chr17,-,18360552-18363372;18356000-18363372,18355886-18356000;18360414-18360552;18363372-18363563,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A18363563-18355886
CLVS1,ENSG00000177182.11,ENSG00000177182.11:s:61287955-61288234,-0.0405;0.1003;-0.0485;0.0058;-0.0001,1.591e-01;4.851e-01;2.460e-01;3.594e-03;1.004e-06,2.717e-01;6.975e-02;1.811e-01;7.593e-01;9.933e-01,0.1149;0.2468;0.5864;0.0280;0.0108,0.0561;0.3831;0.5173;0.0440;0.0020,s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|2e2.1o1,5,5,1;0;0;0;0,chr8,+,61288138-61290728;61288138-61292318;61288138-61299677;61288138-61376605;61288234-61292318,61287955-61288234;61290728-na;61292318-61292454;61299677-61300282;61376605-61378375,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr8%3A61378375-61287955
CLVS1,ENSG00000177182.11,ENSG00000177182.11:t:61299677-61300282,0.0000;-0.1164;0.1151,3.172e-07;5.274e-01;5.218e-01,9.995e-01;5.215e-02;5.344e-02,0.0020;0.6824;0.3154,0.0034;0.5494;0.4472,t|1e1.1o1|1e2.1o2|1e3.1o1,3,4,0;0;0,chr8,+,61131860-61299677;61288138-61299677;61292454-61299677,61131770-61131860;61287955-61288234;61292318-61292454;61299677-61300282,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr8%3A61300282-61131770
TBL1XR1,ENSG00000177565.18,ENSG00000177565.18:s:177131363-177131449,0.1269;-0.1269,5.501e-01;5.501e-01,4.270e-02;4.270e-02,0.5288;0.4712,0.6983;0.3017,s|1e1.1o1|1e2.1o1,2,3,0;1,chr3,-,177098541-177131363;177065022-177131363,177064920-177065022;177098466-177098541;177131363-177131449,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr3%3A177131449-177064920
TBL1XR1,ENSG00000177565.18,ENSG00000177565.18:t:177098466-177098541,-0.0000;-0.0000;-0.1098;0.0169;-0.0142;-0.0000;0.1388;-0.0015;-0.0000,7.062e-21;7.062e-21;5.705e-01;4.243e-02;2.319e-02;7.062e-21;7.607e-01;8.904e-06;7.062e-21,1.000e+00;1.000e+00;5.651e-02;4.954e-01;5.750e-01;1.000e+00;1.759e-02;9.419e-01;1.000e+00,0.0004;0.0004;0.6531;0.1243;0.0739;0.0004;0.1048;0.0326;0.0004,0.0003;0.0003;0.5329;0.1556;0.0522;0.0003;0.2497;0.0081;0.0003,t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|1e6.1o1|1e7.1o1|1e8.1o1|1e9.1o1,9,10,0;0;0;0;0;0;0;1;0,chr3,-,177098541-177227868;177098541-177201739;177098541-177197121;177098541-177196340;177098541-177160871;177098541-177136217;177098541-177131363;177098541-177110809;177098541-177099405,177098466-177098541;177099405-177099447;177110809-177110887;177131363-177131449;177136217-177136245;177160871-177160988;177196340-177196484;177197121-177197482;177201739-177201817;177227868-177228000,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr3%3A177228000-177098466
TBL1XR1,ENSG00000177565.18,ENSG00000177565.18:t:177131363-177131449,-0.0394;-0.0097;-0.0001;-0.0130;0.1007,2.409e-01;1.141e-01;3.440e-05;2.920e-02;4.830e-01,1.737e-01;3.357e-01;9.950e-01;6.008e-01;7.189e-02,0.7293;0.1746;0.0041;0.0500;0.0258,0.6768;0.1614;0.0024;0.0024;0.1551,t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1,5,6,0;1;0;0;1,chr3,-,177131449-177197121;177131449-177196340;177131449-177171390;177131449-177163978;177131449-177160871,177131363-177131449;177160871-177160988;177163978-177164001;177171390-177171417;177196340-177196484;177197121-177197482,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr3%3A177197482-177131363
AGTRAP,ENSG00000177674.16,ENSG00000177674.16:t:11747440-11747545,-0.0009;-0.0877;0.1206;-0.0002;0.0024,3.915e-05;4.340e-01;6.328e-01;2.553e-06;4.372e-03,9.618e-01;9.429e-02;4.205e-02;9.910e-01;6.906e-01,0.0209;0.8004;0.1114;0.0147;0.0421,0.0060;0.6842;0.2543;0.0009;0.0512,t|1e1.1o1|1e2.1o1|1e3.1o1|2e2.1o1|i,5,4,0;0;0;1;1,chr1,+,11736235-11747440;11745837-11747440;11746223-11747440;11745837-11747460;11746673-11747439,11736084-11736235;11745801-11745837;11745930-11746672;11747440-11747545,11746673-11747439,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A11747545-11736084
AGTRAP,ENSG00000177674.16,ENSG00000177674.16:t:11750077-11750771,-0.0954;0.1010;-0.0000,4.668e-01;4.965e-01;5.749e-08,8.105e-02;7.192e-02;9.991e-01,0.3811;0.6093;0.0079,0.2540;0.7442;0.0020,t|1e1.1o2|1e1.2o2|1e2.1o1,3,3,0;0;1,chr1,+,11748589-11750077;11748610-11750077;11749616-11750077,na-11749616;11748415-11748610;11750077-11750771,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A11750771-11748415
ZNF620,ENSG00000177842.12,ENSG00000177842.12:t:40506304-40506376,0.0000;0.0641;0.0383;-0.1213,1.507e-09;2.934e-01;1.960e-01;6.090e-01,1.000e+00;1.649e-01;2.264e-01;4.596e-02,0.0017;0.0820;0.6333;0.2804,0.0016;0.1753;0.6923;0.1379,t|1e1.1o1|1e2.1o3|1e2.2o3|1e2.3o3,4,3,0;0;0;1,chr3,+,40477357-40506304;40506125-40506304;40506138-40506304;40506200-40506304,40477131-40477357;40505992-40506200;40506304-40506376,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr3%3A40506376-40477131
ZNF619,ENSG00000177873.14,ENSG00000177873.14:t:40482588-40482704,0.1669;-0.2269;0.0327,7.267e-01;8.289e-01;1.226e-01,1.947e-02;7.600e-03;3.251e-01,0.0377;0.9286;0.0287,0.2417;0.6883;0.0950,t|1e1.1o1|1e2.1o1|1e3.1o1,3,4,0;0;0,chr3,+,40478003-40482588;40482016-40482588;40482349-40482588,40477770-40478003;40481863-40482128;40482200-40482349;40482588-40482704,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr3%3A40482704-40477770
LRRC75B,ENSG00000178026.13,ENSG00000178026.13:t:24588214-24588329,0.1061;0.0014;-0.1173,4.768e-01;3.514e-04;5.308e-01,6.431e-02;9.349e-01;5.220e-02,0.4449;0.0086;0.5410,0.5888;0.0167;0.3959,t|1e1.1o1|1e2.1o2|1e2.2o2,3,3,0;1;0,chr22,-,24588329-24589821;24588329-24589156;24588329-24588679,24588214-24588329;24588679-24589393;24589821-24589949,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr22%3A24589949-24588214
SH2B1,ENSG00000178188.15,ENSG00000178188.15:t:28866012-28866284,0.0719;0.0143;0.0000;0.0000;-0.1101;-0.0044,3.149e-01;2.370e-02;6.901e-21;6.914e-21;5.899e-01;3.364e-02,1.415e-01;5.595e-01;1.000e+00;9.985e-01;5.149e-02;5.278e-01,0.1434;0.1957;0.0022;0.0003;0.3087;0.3482,0.2292;0.2240;0.0021;0.0201;0.1897;0.3336,t|1e1.1o1|1e2.1o1|1e3.1o2|1e3.2o2|1e4.1o1|i,6,5,0;0;0;1;1;0,chr16,+,28863754-28866012;28863945-28866012;28864262-28866012;28864338-28866012;28865624-28866012;28864339-28866011,na-28865624;28863559-28863754;28863757-28863945;28863975-28864338;28866012-28866284,28864339-28866011,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr16%3A28866284-28863559
ZNF852,ENSG00000178917.17,ENSG00000178917.17:s:44502542-44502668,0.1039;-0.1039,4.922e-01;4.922e-01,6.575e-02;6.575e-02,0.6790;0.3210,0.7975;0.2025,s|1e1.1o2|1e1.2o2,2,2,0;0,chr3,-,44500637-44502542;44500634-44502542,44499302-44500637;44502542-44502668,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr3%3A44502668-44499302
ZNF852,ENSG00000178917.17,ENSG00000178917.17:t:44502542-44502668,-0.1033;0.1033,4.582e-01;4.582e-01,6.266e-02;6.266e-02,0.5087;0.4913,0.3486;0.6514,t|1e1.1o2|1e2.1o1,2,3,0;0,chr3,-,44502668-44510553;44502668-44502965,44502542-44502668;44502965-44503110;44510491-44510636,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr3%3A44510636-44502542
CTC1,ENSG00000178971.16,ENSG00000178971.16:s:8229302-8229446,-0.0359;0.2217;-0.0240;-0.1000,4.768e-02;9.390e-01;3.016e-02;4.969e-01,4.365e-01;2.360e-03;5.064e-01;7.441e-02,0.0717;0.5817;0.0644;0.2682,0.0023;0.8222;0.0252;0.1480,s|1e3.1o1|2e1.1o1|2e2.1o1|2e3.1o1,4,4,0;0;0;0,chr17,-,8228629-8229335;8229206-8229302;8228892-8229302;8228629-8229302,8228503-8228629;8228725-8228892;8229142-8229206;8229302-8229446,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A8229446-8228503
CTC1,ENSG00000178971.16,ENSG00000178971.16:t:8228503-8228629,-0.0209;-0.0979;0.0014;0.1237;0.0156,7.239e-03;4.911e-01;7.381e-04;6.302e-01;2.018e-02,5.912e-01;7.758e-02;8.429e-01;4.230e-02;5.803e-01,0.0541;0.2229;0.0260;0.6560;0.0352,0.0013;0.1049;0.0277;0.8011;0.0602,t|1e1.1o2|1e1.2o2|1e2.1o1|1e3.1o2|1e3.2o2,5,4,0;0;1;0;1,chr17,-,8228629-8229335;8228629-8229302;8228629-8229142;8228629-8228727;8228629-8228725,8228503-8228629;8228725-8228892;8229142-8229206;8229302-8229446,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A8229446-8228503
AURKB,ENSG00000178999.13,ENSG00000178999.13:s:8207176-8207370,-0.1008;-0.0002;0.0002;0.0000;0.0636;0.0000;0.0279,5.227e-01;3.557e-09;9.686e-08;6.901e-21;2.646e-01;6.901e-21;7.073e-02,4.952e-02;9.791e-01;9.631e-01;1.000e+00;1.827e-01;1.000e+00;4.095e-01,0.1807;0.0273;0.0315;0.0073;0.6574;0.0002;0.0996,0.0715;0.0233;0.0266;0.0004;0.7330;0.0004;0.1416,s|1e1.1o2|1e1.2o2|1e2.1o1|2e1.1o2|2e1.2o2|2e2.1o1|i,7,3,0;1;0;1;0;1;0,chr17,-,8206934-8207318;8206888-8207318;8206639-8207318;8206934-8207176;8206888-8207176;8206639-8207176;8206935-8207175,8206491-8206698;8206740-8206934;8207176-8207370,8206935-8207175,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A8207370-8206491
EDC3,ENSG00000179151.13,ENSG00000179151.13:s:74695880-74696029,0.0000;0.0907;0.0000;0.0000;-0.1062;0.0000;0.0000,7.062e-21;4.315e-01;7.062e-21;7.062e-21;5.556e-01;7.062e-21;7.062e-21,1.000e+00;9.955e-02;1.000e+00;1.000e+00;5.958e-02;1.000e+00;1.000e+00,0.0033;0.2016;0.0002;0.0072;0.7857;0.0002;0.0028,0.0048;0.2976;0.0025;0.0100;0.6766;0.0072;0.0025,s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|1e6.1o1|1e7.1o1,7,8,0;0;0;0;0;1;0,chr15,-,74693018-74695880;74687179-74695880;74679925-74695880;74677022-74695880;74675142-74695880;74671774-74695880;74656068-74695880,74656020-74656068;74671635-74671774;74674861-74675142;74676941-74677022;74679802-74679925;74687091-74687179;74692886-74693018;74695880-74696029,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr15%3A74696029-74656020
RAD23A,ENSG00000179262.10,ENSG00000179262.10:t:12949275-12949408,0.0000;0.1498;0.0000;0.0000;-0.1494,7.062e-21;8.598e-01;7.062e-21;7.062e-21;8.578e-01,1.000e+00;1.256e-03;1.000e+00;1.000e+00;1.356e-03,0.0001;0.5015;0.0006;0.0001;0.4976,0.0001;0.6513;0.0001;0.0001;0.3484,t|1e1.1o2|1e2.1o2|1e2.2o2|2e1.1o2|2e2.1o2,5,3,0;0;1;1;0,chr19,+,12948813-12949275;12949159-12949275;12949191-12949275;12948813-12949278;12949159-12949278,12948686-12948818;12949020-12949191;12949275-12949408,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr19%3A12949408-12948686
PUF60,ENSG00000179950.14,ENSG00000179950.14:s:143828904-143829044,0.0546;0.0081;-0.2341;-0.0229;-0.0072;0.1600,2.568e-01;5.278e-03;8.870e-01;6.993e-02;1.069e-02;6.866e-01,1.757e-01;7.468e-01;4.616e-03;4.255e-01;6.957e-01;2.273e-02,0.1259;0.0018;0.4315;0.0881;0.0492;0.2969,0.2020;0.0474;0.1817;0.0487;0.0237;0.5018,s|1e1.1o1|1e2.1o1|1e3.1o2|1e3.2o2|2e1.1o1|i,6,4,0;0;0;1;1;1,chr8,-,143827536-143828984;143827167-143828984;143824399-143828984;143824396-143828984;143827536-143828904;143827537-143828903,143824313-143824460;143827029-143827167;143827385-143827536;143828904-143829044,143827537-143828903,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr8%3A143829044-143824313
UGP2,ENSG00000169764.16,ENSG00000169764.16:t:63855909-63856433,-0.1203;0.0126;0.0000;0.0000;0.0896;0.0000;0.0000;0.0000;0.0000,6.747e-01;8.940e-04;7.063e-21;7.062e-21;4.282e-01;7.062e-21;7.062e-21;7.062e-21;7.062e-21,2.261e-02;6.915e-01;9.999e-01;1.000e+00;8.867e-02;1.000e+00;1.000e+00;1.000e+00;1.000e+00,0.9323;0.0244;0.0002;0.0002;0.0402;0.0002;0.0002;0.0002;0.0002,0.8009;0.0497;0.0094;0.0003;0.1310;0.0003;0.0003;0.0003;0.0003,t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|1e6.1o1|1e7.1o1|1e8.1o1|2e2.1o1,9,9,0;0;0;0;0;0;0;0;0,chr2,+,63841232-63856306;63842204-63856306;63842437-63856306;63842471-63856306;63842599-63856306;63846174-63856306;63854936-63856306;63855643-63856306;63842204-63856330,63840952-63841232;63841851-63842204;63842325-63842437;63842438-63842471;63842539-63842599;63846074-63846174;63854845-63854936;63855567-63855643;63855909-63856433,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr2%3A63856433-63840952
ROBO1,ENSG00000169855.20,ENSG00000169855.20:s:78651732-78651929,0.1653;-0.1653,9.163e-01;9.163e-01,8.855e-04;8.855e-04,0.7673;0.2327,0.9399;0.0601,s|1e1.1o1|1e2.1o1,2,3,0;0,chr3,-,78647655-78651732;78646190-78651732,78646148-78646190;78647629-78647655;78651732-78651929,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr3%3A78651929-78646148
ROBO1,ENSG00000169855.20,ENSG00000169855.20:t:78646148-78646190,-0.1624;0.1624,9.064e-01;9.064e-01,1.337e-03;1.337e-03,0.2276;0.7724,0.0616;0.9384,t|1e1.1o1|1e2.1o1,2,3,0;0,chr3,-,78646190-78651732;78646190-78647629,78646148-78646190;78647629-78647655;78651732-78651929,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr3%3A78651929-78646148
GUSB,ENSG00000169919.17,ENSG00000169919.17:s:65975852-65976202,0.1245;-0.1077;-0.0059,6.789e-01;5.626e-01;5.187e-03,3.245e-02;5.599e-02;7.272e-01,0.3414;0.5303;0.1236,0.4753;0.4058;0.1128,s|1e1.1o1|1e2.1o1|i,3,3,0;0;0,chr7,-,65975071-65976015;65974704-65976015;65975072-65975851,65974503-65974847;65975012-65975071;65975852-65976202,65975072-65975851,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A65976202-65974503
CHD3,ENSG00000170004.18,ENSG00000170004.18:s:7893805-7893935,-0.1066;0.1066,5.452e-01;5.452e-01,5.988e-02;5.988e-02,0.5740;0.4260,0.4637;0.5363,s|1e1.1o2|1e1.2o2,2,2,0;0,chr17,+,7893935-7894115;7893935-7894127,7893805-7893935;7894115-7894265,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A7894265-7893805
CHD3,ENSG00000170004.18,ENSG00000170004.18:s:7907353-7907488,0.0000;0.0000;0.1684;-0.0000;-0.1596,7.062e-21;7.062e-21;9.169e-01;7.062e-21;8.737e-01,1.000e+00;1.000e+00;3.869e-03;1.000e+00;4.741e-03,0.0045;0.0015;0.6088;0.0145;0.3681,0.0078;0.0029;0.7770;0.0028;0.2098,s|1e1.1o1|1e2.2o2|2e1.1o1|2e2.1o2|2e2.2o2,5,3,1;1;0;1;0,chr17,+,7907462-7907601;7907462-7907894;7907488-7907601;7907488-7907891;7907488-7907894,7907353-7907488;7907601-7907702;7907891-7908019,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A7908019-7907353
CHD3,ENSG00000170004.18,ENSG00000170004.18:s:7908402-7908570,0.1945;0.0000;-0.1943,9.937e-01;6.901e-21;9.942e-01,2.920e-06;1.000e+00;2.937e-06,0.7811;0.0005;0.2184,0.9659;0.0006;0.0335,s|1e1.1o2|1e1.2o2|i,3,2,0;1;1,chr17,+,7908510-7908697;7908510-7908719;7908571-7908696,7908402-7908570;7908697-7908829,7908571-7908696,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A7908829-7908402
CHD3,ENSG00000170004.18,ENSG00000170004.18:t:7907891-7908019,-0.0000;0.1282;0.0000;-0.1892;0.0578,7.062e-21;7.251e-01;7.062e-21;9.733e-01;2.302e-01,1.000e+00;1.265e-02;1.000e+00;2.563e-04;2.081e-01,0.0154;0.1650;0.0016;0.3989;0.4256,0.0027;0.2896;0.0028;0.2047;0.4949,t|1e1.2o2|1e2.1o1|2e1.1o2|2e1.2o2|2e2.1o1,5,3,1;0;1;0;0,chr17,+,7907488-7907891;7907702-7907891;7907462-7907894;7907488-7907894;7907702-7907894,7907353-7907488;7907601-7907702;7907891-7908019,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A7908019-7907353
KCNAB3,ENSG00000170049.10,ENSG00000170049.10:s:7923711-7923842,-0.1218;0.1596;-0.0200,5.969e-01;7.321e-01;5.095e-02,4.531e-02;2.091e-02;4.751e-01,0.1757;0.7313;0.0681,0.0381;0.9284;0.0347,s|1e1.1o2|1e1.2o2|1e2.1o1,3,3,1;0;1,chr17,-,7923631-7923711;7923544-7923711;7923179-7923711,7921859-7923179;7923456-7923631;7923711-7923842,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A7923842-7921859
KCNAB3,ENSG00000170049.10,ENSG00000170049.10:s:7929097-7929856,0.0000;-0.1483;0.0000;0.1469,1.406e-06;6.269e-01;1.406e-06;6.230e-01,9.988e-01;2.914e-02;9.988e-01;2.983e-02,0.0026;0.5541;0.0026;0.4407,0.0031;0.3639;0.0031;0.6302,s|1e1.1o2|2e1.2o2|3e1.1o2|i,4,2,0;0;0;1,chr17,-,7928347-7929345;7927826-7929194;7928347-7929097;7928348-7929096,7927783-7928347;7929097-7929856,7928348-7929096,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A7929856-7927783
HNRNPA3,ENSG00000170144.21,ENSG00000170144.21:t:177222060-177223958,0.2400;-0.0065;0.0000;-0.2183,9.991e-01;2.287e-03;6.901e-21;9.891e-01,4.083e-07;7.816e-01;1.000e+00;2.166e-05,0.3385;0.0757;0.0002;0.5805,0.5842;0.0569;0.0003;0.3604,t|1e1.2o2|1e2.2o2|2e2.1o2|i,4,3,0;0;1;0,chr2,+,177219314-177222060;177221976-177222060;177221950-177222523;177221977-177222059,177219247-177219314;177219408-177221976;177222060-177223958,177221977-177222059,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr2%3A177223958-177219247
CHRNB1,ENSG00000170175.11,ENSG00000170175.11:s:7446069-7446113,0.3946;-0.3946,1.000e+00;1.000e+00,2.709e-08;2.718e-08,0.0260;0.9740,0.4238;0.5762,s|1e1.1o1|1e2.1o1,2,3,0;0,chr17,+,7446113-7446398;7446113-7446833,7446069-7446113;7446398-7446472;7446833-7446942,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A7446942-7446069
CHRNB1,ENSG00000170175.11,ENSG00000170175.11:s:7447503-7447650,-0.1233;0.1233,5.667e-01;5.667e-01,4.619e-02;4.619e-02,0.8496;0.1504,0.6937;0.3063,s|1e1.1o1|1e2.1o2,2,3,0;0,chr17,+,7447650-7448579;7447650-7454297,7447503-7447650;7448579-7448788;7454297-7454520,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A7454520-7447503
ADPRM,ENSG00000170222.12,ENSG00000170222.12:s:10704900-10705928,-0.1628;0.1628,8.083e-01;8.083e-01,1.368e-02;1.368e-02,0.9204;0.0796,0.7417;0.2583,s|1e1.1o1|2e1.1o1,2,2,0;0,chr17,+,10705527-10706438;10705615-10706438,10704900-10705928;10706438-10706554,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A10706554-10704900
